time,xco2_ppm,xco2_ppm_error,xch4_ppm,xch4_ppm_error
2013-01-12,397.0207,0.60172415,1813.1552,0.0020172414
2013-01-13,396.20294,0.7794118,1805.5294,0.003911765
2013-01-14,396.23334,1.5787879,1800.4546,0.006848485
2013-01-15,396.08447,0.67068964,1803.8448,0.0029655173
2013-01-16,395.65933,1.179661,1803.0339,0.0049830507
2013-01-17,395.19492,0.67118645,1804.4746,0.002118644
2013-01-18,394.98462,0.72307694,1803.9615,0.003
2013-01-19,394.75247,0.51967216,1804.1476,0.002032787
2013-01-20,394.5644,0.74915254,1799.6271,0.0039322036
2013-01-21,394.72903,0.6467742,1789.8871,0.0020645163
2013-01-22,394.66666,0.51428574,1793.3334,0.002047619
2013-01-23,,,,
2013-01-24,395.9,0.6,1789.0,0.003
2013-01-25,,,,
2013-01-26,397.40768,1.1923077,1825.5385,0.005230769
2013-01-27,397.33002,1.12,1827.2,0.0051
2013-01-28,395.4889,1.4333333,1795.5278,0.0059722224
2013-01-29,397.54443,0.62222224,1801.9259,0.0025185186
2013-01-30,398.29166,0.5316667,1799.0834,0.0021666668
2013-01-31,396.52032,0.41093752,1791.6875,0.0011875001
2013-02-01,396.3875,0.4725,1797.975,0.0021000002
2013-02-02,,,,
2013-02-03,395.84546,0.54545456,1806.0682,0.0021363636
2013-02-04,397.89584,0.51875,1825.4375,0.002
2013-02-05,398.36,0.58000004,1824.3,0.002
2013-02-06,399.97693,0.50769234,1849.6154,0.002
2013-02-07,399.675,0.82954544,1836.841,0.004409091
2013-02-08,,,,
2013-02-09,,,,
2013-02-10,,,,
2013-02-11,,,,
2013-02-12,398.77777,0.56666666,1809.4445,0.002
2013-02-13,398.15845,0.8984615,1806.4615,0.0062
2013-02-14,398.04153,0.47076923,1802.2153,0.002323077
2013-02-15,397.02353,0.42745098,1804.3334,0.002
2013-02-16,397.09555,0.41333333,1808.1333,0.002
2013-02-17,398.05942,0.442029,1816.884,0.002
2013-02-18,397.9659,0.5090909,1819.8636,0.0028863638
2013-02-19,398.32,0.6,1815.2,0.0032000002
2013-02-20,396.97455,0.5309091,1783.0364,0.0026727272
2013-02-21,397.536,1.224,1806.32,0.00536
2013-02-22,398.89706,0.6044118,1807.5441,0.002397059
2013-02-23,398.9116,1.2956522,1813.0145,0.006289855
2013-02-24,398.5,1.2605634,1811.5211,0.005887324
2013-02-25,398.44144,0.5257143,1814.9286,0.0023714288
2013-02-26,398.77573,0.42285714,1823.8572,0.002
2013-02-27,398.2831,0.47464788,1813.676,0.002
2013-02-28,397.86667,0.90579706,1809.6812,0.0038115943
2013-03-01,397.34927,0.46231884,1807.8551,0.0022608696
2013-03-02,396.6389,0.42222223,1800.5278,0.002027778
2013-03-03,398.13846,0.43846154,1812.6923,0.0027692309
2013-03-04,398.7,0.6,1825.25,0.002
2013-03-05,398.82,0.8,1824.2,0.003
2013-03-06,397.2,0.8,1808.0,0.003
2013-03-07,,,,
2013-03-08,397.375,0.4,1772.0,0.002
2013-03-09,398.525,1.25,1815.25,0.005
2013-03-10,398.13245,0.5918919,1808.3243,0.0026486488
2013-03-11,397.76486,0.42702702,1800.9459,0.002
2013-03-12,398.28207,0.8761194,1804.8806,0.003835821
2013-03-13,398.01645,0.539726,1804.7261,0.0023287672
2013-03-14,398.18387,0.7483871,1810.6451,0.0066451617
2013-03-15,399.06726,0.5181818,1820.2181,0.002327273
2013-03-16,400.51456,0.52909094,1844.5636,0.0024363636
2013-03-17,400.15216,0.6043478,1847.5652,0.0029565217
2013-03-18,399.55,1.0666667,1833.3334,0.0050833337
2013-03-19,401.05835,0.7375,1830.25,0.0030833334
2013-03-20,401.05,0.925,1826.75,0.0037500001
2013-03-21,399.75418,0.50208336,1831.2709,0.002125
2013-03-22,399.58545,0.60545456,1827.0182,0.0030545455
2013-03-23,399.1232,0.51594204,1821.8695,0.0023913044
2013-03-24,399.49435,0.6056604,1821.566,0.0025660377
2013-03-25,399.8846,0.61538464,1820.2051,0.0030512821
2013-03-26,399.7923,0.75128204,1821.2565,0.0042307694
2013-03-27,398.93332,0.7923077,1817.5641,0.0034358974
2013-03-28,399.10464,0.60465115,1809.3721,0.0025813954
2013-03-29,398.77603,0.7875,1809.875,0.004135417
2013-03-30,398.99448,0.7826772,1810.3937,0.00515748
2013-03-31,397.25653,0.8,1792.4348,0.0053043477
2013-04-01,,,,
2013-04-02,399.8,0.58000004,1814.6,0.002
2013-04-03,399.09836,0.5098361,1807.0984,0.0021147542
2013-04-04,398.72632,1.7210526,1800.0,0.008105263
2013-04-05,398.56668,1.7333333,1808.0,0.00825
2013-04-06,399.44284,0.7607143,1814.1072,0.0031071429
2013-04-07,399.2815,0.7222222,1819.4445,0.0032962963
2013-04-08,398.675,0.86,1810.25,0.00365
2013-04-09,398.6987,0.66710526,1804.8552,0.0025921054
2013-04-10,399.88962,0.52,1819.9556,0.0021037038
2013-04-11,398.97858,0.5511905,1808.131,0.0021428573
2013-04-12,399.4914,0.6172414,1810.3448,0.0024827586
2013-04-13,399.17273,0.7090909,1811.091,0.003
2013-04-14,,,,
2013-04-15,,,,
2013-04-16,398.7413,0.71304345,1824.2391,0.0036956524
2013-04-17,398.5387,0.57258064,1819.0322,0.002403226
2013-04-18,399.40167,0.49333334,1813.7667,0.0020833334
2013-04-19,399.64185,1.0174419,1818.0,0.0046279067
2013-04-20,399.5092,0.62528735,1823.7012,0.0026206898
2013-04-21,400.30118,0.4348837,1825.686,0.002
2013-04-22,400.1845,0.4887324,1828.0845,0.002
2013-04-23,400.18814,0.53050846,1835.7966,0.0024745762
2013-04-24,399.8,0.67857146,1831.5714,0.0032857144
2013-04-25,399.85294,1.0294118,1826.3529,0.004941176
2013-04-26,399.91464,0.5292683,1825.9634,0.0018780489
2013-04-27,399.87296,1.0105883,1825.9883,0.004635294
2013-04-28,400.09714,0.65,1824.8429,0.0027142859
2013-04-29,400.6516,0.61612904,1827.7742,0.0028225807
2013-04-30,400.09695,1.0484848,1816.7273,0.003909091
2013-05-01,399.62753,1.115942,1815.5508,0.005347826
2013-05-02,399.61942,1.2097087,1814.9806,0.0058349515
2013-05-03,399.61578,1.3052632,1805.171,0.005723684
2013-05-04,400.11017,1.2050848,1817.0,0.0053728814
2013-05-05,398.47778,1.3333334,1803.0,0.0063333334
2013-05-06,,,,
2013-05-07,398.8,1.08,1789.8,0.0046
2013-05-08,399.79,0.98,1808.6,0.0043
2013-05-09,399.66,1.255,1808.35,0.0054
2013-05-10,401.2,0.5,1822.0,0.002
2013-05-11,400.37955,1.2045455,1817.909,0.005363636
2013-05-12,400.03888,1.0527778,1810.8334,0.0043333336
2013-05-13,400.78247,1.1649123,1820.1052,0.005
2013-05-14,400.00757,1.1848485,1812.3788,0.0051666666
2013-05-15,400.6226,0.78064513,1818.8549,0.0033225808
2013-05-16,401.4158,0.65789473,1820.8422,0.0027894739
2013-05-17,400.9,0.6,1827.0,0.002
2013-05-18,400.2244,1.597561,1825.2927,0.007195122
2013-05-19,400.28125,1.00125,1824.1375,0.0043375
2013-05-20,400.24762,0.9746032,1817.6031,0.003920635
2013-05-21,399.46667,1.1533333,1803.9333,0.0049333335
2013-05-22,400.31305,0.65217394,1821.174,0.003
2013-05-23,399.85788,0.8368421,1813.2106,0.0037894738
2013-05-24,399.791,1.317,1818.71,0.00645
2013-05-25,399.5355,1.0,1814.7903,0.004370968
2013-05-26,399.22928,0.6073171,1811.317,0.0023170733
2013-05-27,399.525,0.92083335,1819.9791,0.0029166667
2013-05-28,399.2552,1.4172413,1810.4482,0.006862069
2013-05-29,399.22208,1.0402597,1802.1428,0.0054155844
2013-05-30,399.26956,0.7014493,1800.4637,0.0035652174
2013-05-31,399.85556,0.78571427,1805.2063,0.0052380953
2013-06-01,399.63333,0.6595238,1808.0714,0.004119048
2013-06-02,399.5138,0.42068967,1805.0518,0.002172414
2013-06-03,399.1389,0.46111113,1800.4073,0.0023148148
2013-06-04,399.45,0.43478262,1801.5217,0.0020217393
2013-06-05,399.095,0.365,1800.525,0.0020333335
2013-06-06,399.10986,0.5777778,1800.3704,0.003345679
2013-06-07,399.49847,0.45384616,1800.6461,0.002646154
2013-06-08,399.3652,0.70434785,1808.5652,0.0030869567
2013-06-09,398.69333,0.52666664,1796.5333,0.0026166667
2013-06-10,398.88165,0.32333335,1801.5167,0.0012666667
2013-06-11,398.68668,1.18,1796.0333,0.005266667
2013-06-12,398.9,1.0058824,1797.6765,0.001
2013-06-13,399.4183,0.5915493,1811.8733,0.0019014085
2013-06-14,398.98117,0.4115942,1811.0725,0.0020579712
2013-06-15,398.64032,0.47741935,1812.6774,0.0027580645
2013-06-16,398.61548,0.4549296,1821.2394,0.0022676056
2013-06-17,399.16583,0.49367088,1819.1519,0.0020126584
2013-06-18,399.06876,0.47375,1806.175,0.0020125
2013-06-19,398.3307,0.83863634,1807.966,0.0035113636
2013-06-20,398.03052,1.211017,1813.1526,0.0055084745
2013-06-21,398.32156,0.77843136,1804.6177,0.0031666667
2013-06-22,397.91446,0.48157895,1812.75,0.001881579
2013-06-23,397.58966,0.8931034,1807.6207,0.003896552
2013-06-24,,,,
2013-06-25,398.18948,1.181579,1792.579,0.0033157896
2013-06-26,398.93103,0.6551724,1793.7816,0.0022068967
2013-06-27,398.50632,0.61789477,1785.5474,0.0023052632
2013-06-28,398.38495,0.8010753,1781.4086,0.003655914
2013-06-29,399.1573,0.5752809,1795.6067,0.0031910113
2013-06-30,399.22693,0.7096154,1796.9615,0.0028846154
2013-07-01,399.14166,0.68333334,1796.0834,0.0023333335
2013-07-02,399.44333,0.56666666,1797.0333,0.0030333335
2013-07-03,399.18124,1.65,1803.75,0.00734375
2013-07-04,398.85788,0.60921055,1800.9606,0.0026578947
2013-07-05,398.0325,0.58,1793.275,0.00285
2013-07-06,398.03232,0.7215385,1794.7693,0.0035076924
2013-07-07,397.8634,0.5817073,1795.4025,0.002402439
2013-07-08,397.63736,0.5263736,1797.044,0.0021318682
2013-07-09,397.2875,0.8458333,1798.1979,0.004114583
2013-07-10,397.63333,1.0857143,1795.6666,0.0056666667
2013-07-11,,,,
2013-07-12,397.29,0.6933333,1791.9667,0.0030333335
2013-07-13,397.55948,0.5316456,1791.1519,0.002886076
2013-07-14,397.79047,0.61190474,1793.8572,0.003047619
2013-07-15,397.17172,0.43333334,1795.505,0.0020303032
2013-07-16,396.13528,1.3941176,1797.8235,0.0062
2013-07-17,395.85715,0.76836735,1797.9592,0.003214286
2013-07-18,396.2258,0.5032258,1801.2366,0.002
2013-07-19,397.20813,0.5267442,1805.1395,0.0020581395
2013-07-20,397.79715,0.88285714,1807.4286,0.0033428571
2013-07-21,,,,
2013-07-22,397.7295,1.1327869,1807.7377,0.005114754
2013-07-23,396.80624,0.58875,1802.4375,0.0034
2013-07-24,396.27237,0.8723684,1797.3684,0.003986842
2013-07-25,396.92648,0.5735294,1803.1765,0.0023676471
2013-07-26,396.86667,0.5133333,1794.4667,0.002
2013-07-27,397.64813,0.55185187,1813.5927,0.002
2013-07-28,396.57,0.62333333,1799.0333,0.0027666667
2013-07-29,396.06012,0.59150326,1790.8954,0.0021960784
2013-07-30,395.91122,0.48877552,1787.5817,0.0020918369
2013-07-31,395.7172,0.484375,1796.5469,0.0020312502
2013-08-01,395.67587,0.5224138,1801.0518,0.002362069
2013-08-02,394.58057,0.5694445,1803.8611,0.0028611112
2013-08-03,394.33542,0.98125,1808.875,0.003916667
2013-08-04,394.58823,0.6426471,1798.8529,0.0025882353
2013-08-05,394.6,0.45774648,1794.0564,0.0019859155
2013-08-06,394.18,0.88285714,1790.2858,0.0038571428
2013-08-07,394.7706,0.37254903,1800.8235,0.001
2013-08-08,393.87976,0.37380952,1800.5238,0.0018690478
2013-08-09,392.9274,0.4849315,1804.0685,0.0020547947
2013-08-10,392.91516,0.5151515,1810.0151,0.0027727273
2013-08-11,393.4,0.44545454,1818.4805,0.0022077924
2013-08-12,393.93387,0.41129032,1811.5161,0.002
2013-08-13,394.55444,1.1810126,1816.9873,0.0055822786
2013-08-14,395.24472,0.69210523,1815.3816,0.003
2013-08-15,395.46124,1.2312499,1801.3125,0.0051
2013-08-16,395.25952,1.2285714,1799.631,0.0053809523
2013-08-17,394.7305,0.45609757,1799.7927,0.001902439
2013-08-18,395.07092,0.48604652,1803.186,0.0019767443
2013-08-19,395.16364,0.52727276,1803.7424,0.0020606061
2013-08-20,394.96112,0.5236111,1806.3889,0.0029722222
2013-08-21,394.12094,0.9127907,1792.0581,0.0039534885
2013-08-22,393.85416,0.5361111,1792.9305,0.0024861111
2013-08-23,394.05762,0.52185434,1805.3444,0.0029536425
2013-08-24,393.874,1.312,1806.62,0.00602
2013-08-25,394.29535,0.6488372,1806.0116,0.0029651164
2013-08-26,395.08923,1.14,1805.123,0.0055538462
2013-08-27,395.40833,0.6958333,1795.9584,0.0031666667
2013-08-28,394.47223,0.43472221,1792.5,0.002
2013-08-29,394.39517,0.42891568,1793.024,0.002
2013-08-30,395.22144,0.67142856,1797.1904,0.0022380953
2013-08-31,393.92105,0.98421055,1792.6316,0.004
2013-09-01,393.48,0.698,1795.38,0.00328
2013-09-02,393.70755,0.6301887,1797.9434,0.0021886793
2013-09-03,393.82062,0.3968254,1797.3334,0.002
2013-09-04,393.86752,0.4077922,1792.8961,0.0020129872
2013-09-05,393.95514,0.4076923,1793.4487,0.002
2013-09-06,393.84244,1.039394,1796.3334,0.004681818
2013-09-07,394.2507,0.49859154,1801.4789,0.0022816902
2013-09-08,395.06024,0.40384614,1813.2565,0.0019743592
2013-09-09,395.63922,0.44705883,1817.6863,0.002
2013-09-10,394.60666,0.465,1821.1167,0.0019333335
2013-09-11,394.5349,0.76984125,1820.0793,0.0036984128
2013-09-12,394.50275,0.95753425,1814.7123,0.0040684934
2013-09-13,394.94458,0.53783786,1814.2433,0.0022702704
2013-09-14,395.6548,0.5876713,1831.2054,0.0020547947
2013-09-15,394.39856,0.39280576,1824.6979,0.0012374101
2013-09-16,394.32803,0.55060977,1811.2988,0.0018597562
2013-09-17,393.8777,0.6363636,1826.3223,0.002
2013-09-18,394.42194,0.64552844,1838.2032,0.0020325205
2013-09-19,394.78644,0.41355932,1839.2119,0.0011864407
2013-09-20,394.85,0.41111112,1834.9445,0.0017777779
2013-09-21,394.02728,0.67662334,1830.5325,0.0035714288
2013-09-22,393.4904,0.52115387,1825.1154,0.0026153848
2013-09-23,393.46075,0.96444446,1819.3037,0.003903704
2013-09-24,393.92856,1.1928571,1820.3286,0.0040142857
2013-09-25,393.18918,0.59324324,1825.2567,0.0021891892
2013-09-26,392.90768,0.4846154,1828.6307,0.0020615386
2013-09-27,393.731,0.9098591,1835.5775,0.004676056
2013-09-28,393.70428,0.47142857,1823.5857,0.0016571429
2013-09-29,394.27322,0.49577466,1822.3802,0.001971831
2013-09-30,394.9507,0.45211267,1828.2676,0.002
2013-10-01,394.73334,0.4875,1821.25,0.0020625
2013-10-02,394.4932,0.38863638,1825.909,0.0012954546
2013-10-03,395.07916,1.0166667,1833.4166,0.0040416666
2013-10-04,394.52032,0.5359375,1836.0312,0.002171875
2013-10-05,393.49026,0.5125,1829.9445,0.003888889
